Sbay_1	189981
Sbay_2	1289935
Sbay_3	295075
Sbay_4	983774
Sbay_5	531350
Sbay_6	523204
Sbay_7	1027508
Sbay_8	806278
Sbay_9	418340
Sbay_10	1016005
Sbay_11	635711
Sbay_12	445542
Sbay_13	907341
Sbay_14	750656
Sbay_15	763749
Sbay_16	918464
Sbay_17	20773
Sbay_18	4187
Sbay_19	2525
Sbay_20	2437
Sbay_21	2268
Sbay_22	2213
Sbay_23	2055
Sbay_24	1810
Sbay_25	1603
Sbay_26	1602
Sbay_27	1560
Sbay_28	1514
Sbay_29	1383
Sbay_30	1284
Sbay_31	1273
Sbay_32	1268
Sbay_33	1188
Sbay_34	1176
Sbay_35	1174
Sbay_36	1173
Sbay_37	1171
Sbay_38	1166
Sbay_39	1156
Sbay_40	1139
Sbay_41	1139
Sbay_42	1107
Sbay_43	1101
Sbay_44	1084
Sbay_45	1040
Sbay_46	1016
Sbay_47	1006
Sbay_48	1000
Sbay_49	986
Sbay_50	978
Sbay_51	970
Sbay_52	967
Sbay_53	960
Sbay_54	959
Sbay_55	955
Sbay_56	944
Sbay_57	937
Sbay_58	930
Sbay_59	914
Sbay_60	913
Sbay_61	909
Sbay_62	905
Sbay_63	905
Sbay_64	896
Sbay_65	875
Sbay_66	859
Sbay_67	840
Sbay_68	835
Sbay_69	804
Sbay_70	793
Sbay_71	774
Sbay_72	766
Sbay_73	759
Sbay_74	757
Sbay_75	706
Sbay_76	696
Sbay_77	695
Sbay_78	695
Sbay_79	682
Sbay_80	674
Sbay_81	667
Sbay_82	657
Sbay_83	646
Sbay_84	641
Sbay_85	634
Sbay_86	628
Sbay_87	618
Sbay_88	612
Sbay_89	607
Sbay_90	606
Sbay_91	606
Sbay_92	599
Sbay_93	594
Sbay_94	584
Sbay_95	583
Sbay_96	568
Sbay_97	562
Sbay_98	558
Sbay_99	548
Sbay_100	546
Sbay_101	543
Sbay_102	537
Sbay_103	536
Sbay_104	534
Sbay_105	532
Sbay_106	522
Sbay_107	517
Sbay_108	516
Sbay_109	514
Sbay_110	512
Sbay_111	510
Sbay_112	507
Sbay_113	507
Sbay_114	506
